集團名稱,count
6136  富爾特,1
6187  萬潤,1
6186A 新潤建設機構,1
6185  幃翔,1
6184  大豐集團,1
6183  關貿,1
6233  旺玖,1
6270  倍微集團,1
6230A 日本電產集團,1
6229  研通,1
6228  三德飯店集團,1
6226  光鼎,1
6225B 安誠投資,1
6224  聚鼎,1
6220  岳豐,1
6219A 寶鉅投資,1
6218  豪勉集團,1
6164  華興,1
6163  華電網,1
6215  和椿,1
6210  慶生,1
6209  今國光集團,1
1441  大東紡織集團,1
1437  勤益,1
2559  華友聯集團,1
1435A 力大資本,1
X0348 三功投資集團,1
1477  聚陽,1
1476  儒鴻集團,1
1475A 千旺集團,1
9902  台火集團,1
9802  鈺齊,1
8996  高力,1
6194  育富,1
6192  巨路,1
6237  驊訊,1
6236B 精湛建設,1
6234  高僑,1
6242B 生春堂製藥,1
6217  中國探針,1
6216  居易,1
6277  宏正科集團,1
6276A 明珠投資,1
6275  元山,1
6274  台燿集團,1
6272  驊陞,1
6270B 倍利投資,1
9910  豐泰企業,1
62NBI 巴巴事業,1
9905  大華金屬,1
1526  日馳,1
1524  耿鼎,1
1231  聯華食品,1
25691 麗寶集團,1
6279  胡連,1
6278  台表科,1
8941  關中,1
8940  新天地,1
1324  地球,1
1323  永裕,1
1321  大洋集團,1
1319  東陽事業集團,1
1315  達新,1
6266  泰詠集團,1
6265  方土昶,1
6264B 甲上林,1
6263  普萊德,1
3036A 新曄科技,1
6246A 景旺國際,1
6245  立端集團,1
6284  鈺邦集團,1
6446  藥華藥,1
6443  元晶太陽,1
6442  光聖,1
6438B 王年清團隊,1
6432  今展,1
6426  統新,1
6425  易發,1
6419  京晨科,1
6415  F-矽力,1
6411A 晶焱,1
6409  旭隼,1
6405  悅城,1
6294A 志光補教,1
6292  迅德集團,1
6281  全國電,1
6523  達爾膚,1
6515  穎崴,1
6512  啟發電,1
6509A 聚合國際,1
6508  惠光,1
6506  雙邦,1
6504  南六,1
6499  益安生醫,1
6496  科懋,1
6492A 定利開發,1
6485  點序科技,1
6482  弘煜科技,1
6477  安集科技,1
6474  華豫寧,1
6470  宇智,1
6469  大樹醫藥,1
6590  普鴻,1
6589  台康生技,1
6585  鼎基,1
6584  南俊國際,1
6578A 國歡企業,1
6576  逸達,1
6574  霈方,1
6573  虹揚電子,1
6570  維田,1
6560  欣普羅集團,1
3388A 勝品電通,1
6632  向上國際,1
6538  倉和,1
6532  瑞耘,1
6531  愛普,1
6530  創威,1
6641  川源中國機械,1
6637  醫影,1
6629  泰金集團,1
6625  相信音樂,1
6624  萬年清,1
6617  共信醫藥,1
6616  特昇家具,1
6615  禾馨醫療,1
6612  奈米醫材,1
6609  日本瀧澤鐵工,1
6606  建德集團,1
6605  帝寶,1
6603  富強鑫,1
6598  瑞磁生技,1
6596  寬宏藝術,1
6591  動力科技,1
6679  鈺太科技,1
6672A 騰輝電子,1
6671  三能食品器具,1
6668  中揚光,1
6667  信紘科,1
6666  羅麗芬,1
6664  群翊,1
6662  樂斯科,1
6661  威健生技,1
6658  聯策,1
6657A 崇裕投資,1
6655  科定,1
6654  天正國際,1
6651  全宇昕,1
6643  丹星科技,1
6642  富致科技,1
6739  竹陞科技,1
6730  常廣集團,1
6728  上洋產業,1
6727  亞泰金屬集團,1
6725  矽科宏晟,1
6721  信實保全,1
6720  久昌,1
6716  應廣,1
6708  天擎,1
6706  惠特,1
6703  軒郁,1
6692  進金生能源,1
6691A 劉士源家族,1
6689  伊雲谷,1
6683  雍智科技,1
6680  鑫創電子,1
6799  來頡科技,1
6796  晉弘科技,1
6539  麗彤生醫,1
6791  虎門科技,1
6788  華景電通,1
1795  林東和家族,1
5346  力晶集團,1
6768  志強國際,1
6762  達亞集團,1
6761  穩得,1
6754  匯僑設計,1
6753  龍德造船,1
6752  叡揚資訊,1
6743  安普新集團,1
6742  澤米科技,1
6741  九易宇軒,1
6869  雲豹能源集團,1
6865  偉康科技集團,1
6862  三集瑞-KY,1
6859  伯特光集團,1
6855  數泓科技,1
6846  綠茵生技集團,1
6843  進典-新集團,1
6840  東研信超集團,1
6835  園裕企業,1
2437  旺詮,1
6831  趙廷箴家族,1
6830  泛銓科技,1
6823  濾能,1
6821  聯寶電子,1
6807  峰源-KY集團,1
6804  明係,1
6914  阜爾運通集團,1
6913  鴻呈-新集團,1
6909  創控集團,1
6906  現觀科集團,1
6903  巨漢集團,1
6902  走著瞧,1
6899  創為精密集團,1
6894  衛司特集團,1
6890  來億-KY,1
6887  寶綠特,1
6885A 宜蘊醫療集團,1
6877  鏵友益集團,1
6677  瑩碩生技,1
6874  倍力,1
6873  泓德能源集團,1
6870  騰雲-新集團,1
6971  惠民實業-新,1
6967  汎瑋材料,1
6965  中傑-KY,1
4947A 東博資本,1
6014  日盛集團,1
6957  裕慶-KY,1
6952A 國興集團,1
6944  兆聯實業,1
6937  天虹科技,1
6933  AMAX-KY,1
6931  青松健康集團,1
6925  意藍-新集團,1
6922  宸曜,1
6919  康霈集團,1
6918  愛派司生技,1
6916  華凌集團,1
7732  金興精密,1
7728  光焱科技,1
7723  築間,1
6031  韓國LINE集團,1
7721  微程式,1
7718  友鋮,1
7716  昱臺國際,1
7715  裕山,1
7714  創泓科技,1
7713  威力德生醫,1
7712  博盛半導體,1
7642  昶瑞機電,1
7584  樂意傳播,1
7556  意德士,1
3267  世訊,1
6982  大井泵浦,1
7810  捷創科技,1
7788  松川精密,1
S5068 宏華營造,1
7782  陳冠愷家族,1
7770  君曜,1
7769  鴻勁精密,1
7767  仁大資訊,1
7757  金色三麥,1
7751  竑騰,1
7750  新代,1
7749  意騰-KY,1
7744  崴寶,1
7743  金利食安,1
7738  東聯互動,1
7736  虎山,1
7734  印能科技,1
8067  志旭國際,1
8066C 來思達國際,1
8049  晶采,1
8048  首席集團,1
8045  達運,1
8044  網路家庭集團,1
8043  蜜望實集團,1
8042  金山電,1
8039  台虹,1
